@room,room-nr,symbol-img,desc,rules,doors,room-icon,BACK,+
,2,Spades.svg,The party enters a long corridor with a door in the other end.,No special rules.,2,6x2.png,y,@roomback
,3,Spades.svg,In the middle of the corridor lies an old backpack. Maybe there is something useful there?,The backpack may be searched.,2,6x2.png,y,@roomback
,4,Spades.svg,"Engraved in the walls on each side are large skulls. They give an eerie feeling of vigilance, as if they are watching every step the adventurers take.",Increase the threat level by 1.,2,6x2.png,y,@roomback
,5,Spades.svg,Just another long-stretched corridor.  Better hurry on forward!,No special rules.,2,6x2.png,y,@roomback
,6,Spades.svg,"There are gratings in the floor throughout this corridor. By the look of it, the metal has seen better days and are very rusty. The first step makes the metal grind and make a tormented sound. The sound echoing through the corridor is bound attract some attention.","If the party enters the corridor, raise the threat level by 1. At the end of the turn, roll 1d10. If it ends up 1, the gratings give way, and one random hero must pass a DEX test (applying sixth sense if the hero has that talent) or fall down into the pit below. The hero takes 1d10 damage, without Armour but with NA. To get up, the party can either use a rope, or the hero must past a DEX test. It will take a full turn either way.",2,6x2.png,y,@roomback
,7,Spades.svg,"This dank corridor seems to end in two doorways, each lit by a torch in the wall.","No special rules. Deal the cards in two piles, then invert them to that the topmost card ends up at the bottom.  Place each tile by an opening.",3,6x2.png,y,@roomback
,8,Spades.svg,"This dank corridor seems to end in two doorways, each lit by a torch in the wall.","No special rules. Deal the cards in two piles, then invert them to that the topmost card ends up at the bottom.  Place each tile by an opening.",3,6x2.png,y,@roomback
,9,Spades.svg,"There are three different openings in this corridor, each covered by heavy wooden doors.","No special rules. Deal the cards in three piles, then invert them to that the topmost card ends up at the bottom. Place each tile by an opening.",4,6x2.png,y,@roomback
,10,Spades.svg,"The party suddenly halts as they discover that the floor has given way in the middle of the corridor. Where the floor should be, there is now a large gaping hole of unknown depth.","The party can decide to jump across the chasm, passing and DEX+10 test. If a hero fails, he will fall into the chasm.  See Clover 3 for rules.",2,6x2.png,y,@roomback
,2,Clover.svg,"The corridor splits in two at a crossway, leaving three possible ways to go.  There is nothing special to observe in this room but the cold moisty stonewalls.","No special rules. Deal the cards in three piles, then invert them to that the topmost card ends up at the bottom. Place each tile by an opening.",4,6x6-+.png,y,@roomback
,3,Clover.svg,"The corridor splits in two. From the left there is a foul smell, and there seems to be far away noises coming from the right.","No special rules. Deal the cards in two piles, then invert them to that the topmost card ends up at the bottom. Place each tile by an opening.",3,6x4-T.png,y,@roomback
,4,Clover.svg,"The corridor makes a sharp turn. In the corner, up against the wall sits a dead adventurer. By the look of it, he or she must have been there for a while since most of the flesh has been eaten away by god knows what.",The adventurer may be searched.,2,4x4-L.png,y,@roomback
,5,Clover.svg,"A short distance ahead there is a bend in the corridor. Everything things seems quiet, apart from the sound of water droplets hitting the floor.",No special rules.,2,4x4-L.png,y,@roomback
,6,Clover.svg,The corridor makes a sharp turn. As the party enters the corridor there is a sudden sound of something dragging across the floor and shadows dancing on the wall before everything turns quiet again.,Increase the threat level by 1,2,4x4-L.png,y,@roomback
,7,Clover.svg,The corridor in front of you has collapsed and there is no way you can get through without digging through the debris.,"Roll a 1d00. This is the number of stones that must be removed. Each player can remove their STR∕10 RDU number of stones during a full turn. A dwarf, being used to the labours in the mines, can remove STR∕5 RDU. Any character equipped with a pickaxe can remove twice his amour per turn. The noise done will raise the threat level by 1 each turn.",2,4x2.png,y,@roomback
,8,Clover.svg,"The party comes across a stair, leading upwards into darkness. The steps are slippery but worn. This must be a widely used passage.",Take out 4 more cards from the pile of unused cards and add them in the middle of the pile.,2,4x2.png,y,@roomback
